Provinsi,Total
ACEH,1282832
SUMATERA UTARA,3527273
SUMATERA BARAT,1337791
RIAU,1586498
JAMBI,903600
SUMATERA SELATAN,2104081
BENGKULU,518725
LAMPUNG,2323288
KEP. BANGKA BELITUNG,381045
KEP. RIAU,574814
DKI JAKARTA,2788989
JAWA BARAT,13113409
JAWA TENGAH,9921294
DI YOGYAKARTA,1127868
JAWA TIMUR,11347335
BANTEN,2995096
BALI,1166152
NUSA TENGGARA BARAT,1522733
NUSA TENGGARA TIMUR,1183251
KALIMANTAN BARAT,1287645
KALIMANTAN TENGAH,709515
KALIMANTAN SELATAN,1123986
KALIMANTAN TIMUR,959848
KALIMANTAN UTARA,164082
SULAWESI UTARA,679782
SULAWESI TENGAH,721987
SULAWESI SELATAN,2113231
SULAWESI TENGGARA,606508
GORONTALO,279749
SULAWESI BARAT,326421
MALUKU,387463
MALUKU UTARA,272329
PAPUA BARAT,261689
PAPUA,1028643
INDONESIA,70628952
