Year,Month,Day,Avg_Radiation,Avg_Temperature
2011,1,1,4.7749999999999995,23.665625
2011,1,2,4.70375,23.65625
2011,1,3,4.37625,23.2425
2011,1,4,5.015000000000001,23.096875
2011,1,5,4.4925,23.033125
2011,1,6,4.0512500000000005,22.45125
2011,1,7,3.305,22.551875
2011,1,8,4.4825,23.05875
2011,1,9,3.875,22.655
2011,1,10,2.70375,22.271250000000002
2011,1,11,3.64,22.695
2011,1,12,5.275,23.368125
2011,1,13,4.965,23.53375
2011,1,14,4.45375,23.171875
2011,1,15,5.27625,23.638749999999998
2011,1,16,3.61625,23.596875
2011,1,17,4.24,23.203125
2011,1,18,5.52625,23.665625
2011,1,19,5.7475,23.91125
2011,1,20,5.20375,23.600625
2011,1,21,3.85,23.29
2011,1,22,5.66625,23.546875
2011,1,23,4.385,23.41875
2011,1,24,4.59875,23.435625
2011,1,25,4.33375,22.945
2011,1,26,3.45625,22.71625
2011,1,27,3.7,23.11625
2011,1,28,3.40375,23.1825
2011,1,29,3.9725,22.883125
2011,1,30,2.435,23.3675
2011,1,31,3.5462499999999997,23.11875
2011,2,1,5.25375,23.478125
2011,2,2,4.37875,23.135625
2011,2,3,4.375,23.15125
2011,2,4,5.575,23.493125
2011,2,5,5.3012500000000005,23.841875
2011,2,6,4.77875,24.249375
2011,2,7,4.6450000000000005,24.0175
2011,2,8,6.2175,24.161875000000002
2011,2,9,6.0649999999999995,24.28875
2011,2,10,6.61125,24.106875
2011,2,11,6.33625,24.3925
2011,2,12,5.555,23.940625
2011,2,13,5.5125,24.357499999999998
2011,2,14,3.7,24.34375
2011,2,15,4.45625,23.943125000000002
2011,2,16,5.19625,23.88625
2011,2,17,6.23875,24.280625
2011,2,18,5.01375,24.1225
2011,2,19,5.42125,23.973125
2011,2,20,3.54,23.096875
2011,2,21,6.31875,23.559375
2011,2,22,5.1925,23.70375
2011,2,23,5.18125,23.871875
2011,2,24,4.31375,23.648125
2011,2,25,5.6587499999999995,23.7425
2011,2,26,5.19375,23.35
2011,2,27,4.5125,23.48625
2011,2,28,4.5475,23.48125
2011,3,1,5.53,23.83625
2011,3,2,5.285,24.19625
2011,3,3,5.33,23.9825
2011,3,4,4.775,23.9475
2011,3,5,5.7562500000000005,24.324375
2011,3,6,4.5912500000000005,24.181875
2011,3,7,4.77,24.1375
2011,3,8,3.97375,23.35
2011,3,9,4.62,23.36375
2011,3,10,5.1175,23.55
2011,3,11,4.1625000000000005,23.173125
2011,3,12,5.445,23.964375
2011,3,13,5.00625,23.524375
2011,3,14,4.8149999999999995,24.336875
2011,3,15,5.43625,24.249375
2011,3,16,5.49,24.1125
2011,3,17,5.21125,24.638125
2011,3,18,5.185,24.62125
2011,3,19,4.2299999999999995,23.755625
2011,3,20,4.01,23.42375
2011,3,21,4.17375,23.3475
2011,3,22,3.50375,23.003125
2011,3,23,5.9275,23.4275
2011,3,24,5.5025,22.71625
2011,3,25,3.84375,22.731875
2011,3,26,4.875,23.43375
2011,3,27,4.9425,23.41
2011,3,28,3.87,23.493125
2011,3,29,3.29625,23.490625
2011,3,30,4.6175,22.823125
2011,3,31,4.609999999999999,23.171875
2011,4,1,4.705,23.10875
2011,4,2,5.3825,23.800625
2011,4,3,5.89875,23.7875
2011,4,4,6.00875,23.9525
2011,4,5,5.665,24.2
2011,4,6,4.3637500000000005,24.189375
2011,4,7,4.61,24.125625
2011,4,8,3.8649999999999998,23.795
2011,4,9,4.8237499999999995,23.975
2011,4,10,4.0112499999999995,23.66375
2011,4,11,4.8625,23.688125
2011,4,12,4.9624999999999995,24.033125000000002
2011,4,13,4.9325,24.31375
2011,4,14,5.2325,24.3275
2011,4,15,5.1925,23.540625
2011,4,16,3.9737500000000003,23.4675
2011,4,17,4.92125,24.344375
2011,4,18,4.105,23.6575
2011,4,19,5.6475,24.25875
2011,4,20,4.52625,24.1775
2011,4,21,5.32,24.43125
2011,4,22,5.69375,24.726875
2011,4,23,4.20625,24.265625
2011,4,24,4.956250000000001,24.601875
2011,4,25,4.67125,24.00875
2011,4,26,4.96375,24.175
2011,4,27,4.63875,24.234375
2011,4,28,4.921250000000001,24.084375
2011,4,29,2.94,24.115625
2011,4,30,4.335,23.743125
2011,5,1,5.29625,23.455625
2011,5,2,5.02625,24.01
2011,5,3,6.04625,24.37125
2011,5,4,4.09875,24.228125
2011,5,5,6.255,24.655625
2011,5,6,5.6975,24.34625
2011,5,7,5.73875,24.482499999999998
2011,5,8,5.64125,24.419375
2011,5,9,5.7375,24.119375
2011,5,10,5.8012500000000005,24.405625
2011,5,11,5.14,24.8875
2011,5,12,4.0825,24.540625
